SR,SRI,Floor plate size,Number of Floors,Building Depth,Overall WWR,Orientation,E Facade Length,N Facade Length,W Facade Length,S Facade Length,Wall area/Floor area ratio,EUI
0.37,41,8637,1,92,23.7654321,91,78,24,112,110,0.375130254,35.29260739
0.47,54,8600,4,53,33.83973289,1,34,233,99,233,0.696511628,27.94936134
0.47,54,59335,8,164,60.33697632,91,297,260,290,251,0.185050982,16.040175
0.2,20,13333.33333,3,61,16.94645441,1,155,211,154,171,0.51825,10.9261435
0.37,41,9972,3,66,20,91,151,66,151,66,0.435218612,17.16953202
0.37,41,54793.33333,6,213,25.61728395,1,213,273,213,273,0.177393844,32.18551874
0.37,41,85035.4,10,152,70,91,428,152,428,152,0.136413776,25.68645536
0.37,41,25220,3,107,25.50200803,91,137,112,137,112,0.197462331,22.3878406
0.2,20,23540,1,73,1.43153527,1,69,160,73,180,0.204757859,20.07021453
0.33,36,45800,5,125,79.61641392,1,104,410,154,453,0.244759825,17.79264943
0.47,54,29289,1,81,60,91,301,215,334,253,0.376591895,107.8621921
0.47,54,30565,1,81,60,91,339,154,292,148,0.305251104,53.83915289
0.47,54,23932,1,81,60,1,153,233,129,309,0.344308875,95.05312306
0.47,54,20439.66667,3,74,50,-44,250,215,250,215,0.454997635,93.60897389
0.37,41,20794.33333,3,74,46.4516129,1,83,242,138,219,0.327973967,48.94986863
0.37,41,13819.66667,3,73,50,1,83,217,91,149,0.390747485,79.59752136
0.37,41,16513.5,2,70,50,-44,190,220,110,130,0.393617343,47.99373407
0.2,20,29228.33333,3,130,30,1,130,250,130,250,0.260021668,40.35933432
0.2,20,21056.66667,3,85,44.04761905,-44,230,85,230,85,0.299192655,87.94293913
0.37,41,25874.75,4,75,40,46,210,210,210,210,0.324640818,83.18261399
0.37,41,23112.66667,3,80,40,46,210,180,140,230,0.328824021,41.96797821
0.37,41,53110,1,100,70,1,200,400,200,400,0.22594615,75.33604941
0.65,79,52338,2,70,60,-44,510,290,370,350,0.290419963,65.64631148
0.37,41,29679.66667,3,100,50,-44,360,110,250,110,0.279652736,65.48577573
0.47,54,16307,1,80,50,46,170,170,170,170,0.416998835,127.9684734
0.65,79,23815.25,4,130,50.34946237,-44,210,120,100,314,0.312404867,99.61230514
0.65,79,19758.5,4,115,62.67605634,91,159,110,200,170,0.323405117,56.20518131
0.37,41,28136.33333,3,100,40,91,200,120,190,250,0.270113377,53.34632295
0.37,41,35000,3,90,50,46,120,350,120,350,0.268571429,57.45727565
0.37,41,28782,2,70,30,-44,270,180,270,180,0.312695435,71.15979991
0.2,20,37500,1,210,20,-44,240,210,240,210,0.24,40.26935381
0.65,79,16341,3,120,40,46,120,150,120,150,0.330457132,61.33858446
0.65,79,30168,2,70,30,1,150,300,150,300,0.298329356,54.64330582
0.65,79,57145,1,120,40,1,120,480,120,480,0.209992125,52.18238653
0.37,41,31061.5,2,90,40,-44,190,260,190,260,0.289747758,68.2266167
0.37,41,47013,1,200,40,46,240,200,240,200,0.187182269,66.87546528
0.37,41,50300,1,152,15.67955801,46,152,280,193,280,0.179920477,25.99735785
0.37,41,89362.4,5,135,27.93156282,91,844,135,844,135,0.219107813,88.71580284
0.65,79,19758.5,4,115,62.67605634,91,159,110,200,170,0.323405117,56.20518131
0.65,79,43010.2,5,125,70,1,189,270,136,323,0.213437743,53.34261547
0.65,79,14596.5,4,95,51.16314199,46,233,95,239,95,0.453533381,81.30308807
0.2,20,26129,2,152,49.83114447,91,197,130,130,76,0.203987906,50.51607792
0.65,79,3363.733333,15,100,22,91,150,100,150,100,1.486443634,69.19984541
0.37,41,9000,15,56,31.17241379,91,182,108,182,108,0.644444444,40.06820296
0.47,54,7727.272727,11,68,40.8994709,91,138,26,138,76,0.489176471,44.48027765
0.37,41,10171.20833,24,100,17.6076555,-44,100,109,100,109,0.410963955,48.8091877
0.37,41,31993.16667,12,99,44.56852792,1,180,214,180,214,0.246302596,59.06698514
0.37,41,16578.35714,14,80,50,-44,143,158,143,158,0.363124039,52.0721737
0.65,79,65215,17,130,41.99823165,91,309,262,298,262,0.173426359,45.4723851
0.37,41,20000,4,136,53.06859206,91,126,132,126,170,0.277,47.5213975
0.37,41,16867,3,105,12.00381679,1,105,157,105,157,0.310665797,107.3747317
0.37,41,31500,4,90,52.60869565,1,220,240,220,240,0.292063492,136.4547619
0.37,41,25302.4,30,130,40,91,180,130,180,130,0.245036044,56.24541796
0.2,20,5578.4,10,75,15,46,75,75,75,75,0.537788613,23.0196974
0.37,41,21058.88,25,100,13.33333333,91,200,100,200,100,0.284915437,53.93418453
0.47,54,27277.77778,18,100,70,-44,160,160,160,160,0.234623218,60.02282688
0.47,54,25000,20,90,50,1,90,270,90,270,0.288,52.0577028
0.2,20,10794.33333,12,60,24.28571429,91,120,90,120,90,0.389093043,53.45248896
0.65,79,12732.14286,14,50,20,1,160,170,160,170,0.518373072,84.60730154
0.47,54,27888.88889,18,130,20,-44,160,170,160,170,0.236653386,93.86398406
0.65,79,30503.25,20,110,40,1,110,280,110,280,0.255710457,48.18549482
0.47,54,24567.7037,27,145,70,-44,145,160,145,160,0.248293454,43.3711654
0.37,41,26533.77586,58,130,70,-44,130,180,130,180,0.233664445,83.93235902
0.37,41,29927.40741,27,100,50,91,220,100,220,110,0.217192218,91.9100849
0.47,54,37626.23333,30,80,45.06493506,1,20,340,80,330,0.204644455,51.30548793
0.37,41,27156.7,20,110,70,1,110,250,110,250,0.265127943,51.43287807
0.37,41,10217.3913,23,80,61,1,60,135,70,135,0.391489362,57.92658383
0.37,41,12400,20,69,44.16666667,1,50,200,50,180,0.387096774,59.99065081
0.37,41,12400,20,70,44.16666667,1,50,200,50,180,0.387096774,57.70562903
0.65,79,17740,5,130,38.59649123,-44,130,155,130,155,0.321307779,48.89145998
0.37,41,23631.03571,28,140,40,1,140,180,140,180,0.270830279,61.76798309
0.2,20,73529.125,8,175,42.47863248,1,175,410,175,410,0.159120621,59.87956082
0.47,54,8792.5,14,50,36.52173913,91,180,50,180,50,0.523173159,83.67353832
0.47,54,28051.45455,33,170,60,-44,170,200,170,200,0.263800937,58.69773187
0.8,95,19534.29508,61,160,50,-44,160,160,160,160,0.32762892,68.78785356
0.47,54,17647.05882,17,110,58.54166667,-44,130,110,130,110,0.272,74.243357
0.37,41,22985.76471,34,114,70.27777778,1,114,210,114,210,0.281913614,53.34983916
0.65,79,28203.9,20,94,60,1,94,297,94,297,0.277266619,48.44440804
0.37,41,13555.55556,9,33,10,91,208,50,208,50,0.380655738,29.04168525
0.8,95,23344.30909,55,130,50,91,217,135,217,135,0.301572429,73.2790059
0.37,41,7333.333333,15,50,25,91,137,118,137,118,0.695454545,75.40926364
0.2,20,3392.857143,28,63,20,91,109,63,109,63,1.013894737,68.19000526
0.37,41,5684.210526,19,67,38.2208589,91,96,67,96,67,0.573518519,80.26303519
0.37,41,4545.454545,11,36,25.21978022,91,120,62,120,62,0.8008,42.263638
0.8,95,28837.2963,27,150,50,1,56,353,56,353,0.283660435,88.45379286
0.65,79,31843.75,8,152,18.95833333,91,232,152,232,152,0.241177625,56.43149323
0.47,54,30272.33333,3,150,44.65789474,91,203,177,203,177,0.251054318,76.3796657
0.37,41,19641.33333,6,93,17.65714286,1,93,216,0,216,0.267293463,76.41055427
0.2,20,21029.11111,9,87,34.38741722,91,265,37,265,37,0.28722089,79.49106213
0.37,41,45137.6,5,92,38.16901408,1,194,374,194,374,0.251674879,83.84119803
0.2,20,33000,5,84,39.97991968,91,96,97,220,85,0.150909091,91.96762727
0.65,79,11180.66667,6,105,45,46,90,90,90,90,0.321984378,58.17250462
0.37,41,17435.33333,3,77,23.09466019,91,235,167,247,175,0.472603525,53.86197377
0.37,54,20439.66667,3,74,50,1,250,215,250,215,0.454997635,90.60897389
0.2,41,20794.33333,3,74,46.4516129,91,83,242,138,219,0.327973967,47.84986863
0.37,20,13819.66667,3,73,50,-44,83,217,91,149,0.390747485,80.59752136
0.37,41,16513.5,2,70,50,1,190,220,110,130,0.393617343,46.99373407
0.2,20,29228.33333,3,130,30,-44,130,250,130,250,0.260021668,41.35933432
0.37,20,11029.11111,5,87,34.38741722,91,265,37,265,37,0.28722089,81.49106213
0.47,20,3392.857143,20,63,20,1,109,63,109,63,1.013894737,69.19000526
0.37,41,8637,1,92,23.7654321,91,78,24,112,110,0.375130254,35.29260739
0.47,54,8600,4,53,33.83973289,1,34,233,99,233,0.696511628,27.94936134
0.47,54,59335,8,164,60.33697632,91,297,260,290,251,0.185050982,16.040175
0.2,20,13333.33333,3,61,16.94645441,1,155,211,154,171,0.51825,10.9261435
0.37,41,9972,3,66,20,91,151,66,151,66,0.435218612,17.16953202
0.37,41,54793.33333,6,213,25.61728395,1,213,273,213,273,0.177393844,32.18551874
0.37,41,85035.4,10,152,70,91,428,152,428,152,0.136413776,25.68645536
0.37,41,25220,3,107,25.50200803,91,137,112,137,112,0.197462331,22.3878406
0.2,20,23540,1,73,1.43153527,1,69,160,73,180,0.204757859,20.07021453
0.33,36,45800,5,125,79.61641392,1,104,410,154,453,0.244759825,17.79264943
0.47,54,29289,1,81,60,91,301,215,334,253,0.376591895,107.8621921
0.47,54,30565,1,81,60,91,339,154,292,148,0.305251104,53.83915289
0.47,54,23932,1,81,60,1,153,233,129,309,0.344308875,95.05312306
0.47,54,20439.66667,3,74,50,-44,250,215,250,215,0.454997635,93.60897389
0.37,41,20794.33333,3,74,46.4516129,1,83,242,138,219,0.327973967,48.94986863
0.37,41,13819.66667,3,73,50,1,83,217,91,149,0.390747485,79.59752136
0.37,41,16513.5,2,70,50,-44,190,220,110,130,0.393617343,47.99373407
0.2,20,29228.33333,3,130,30,1,130,250,130,250,0.260021668,40.35933432
